1, 0, 1, 0.2
2, 3, 2, 0.2
3, 7, 4, 0.1
4, 6, 5, 0.3
5, 15, 8, 0.1
6, 12, 11, 0.3
7, 13, 10, 0.1
8, 14, 9, 0.3
9, 17, 16, 0.2
10, 17, 6, 0.3
11, 16, 15, 0.2
12, 14, 13, 0.2
13, 12, 13, 0.2
14, 7, 8, 0.2
15, 9, 10, 0.2
16, 11, 0, 0.1
17, 5, 4, 0.2
18, 3, 8, 0.3
19, 2, 1, 0.2
20, 17, 16, 0.6
21, 15, 14, 0.2
22, 12, 11, 0.6
23, 6, 7, 0.2
24, 9, 10, 0.2
25, 5, 6, 0.3
26, 4, 3, 0.2
27, 2, 1, 0.2
28, 0, 11, 0.1
29, 17, 6, 0.6
30, 16, 15, 0.2
31, 14, 13, 1.2
32, 12, 13, 0.2
33, 7, 8, 0.2
34, 9, 14, 0.3
35, 10, 1, 0.3
36, 17, 16, 1.2
37, 15, 8, 0.1
38, 5, 4, 0.5
39, 12, 13, 0.6
40, 3, 2, 0.2
41, 0, 1, 0.6
42, 7, 16, 0.3
43, 9, 10, 1.2
44, 11, 0, 0.3
45, 17, 6, 0.9
46, 15, 14, 0.2
47, 12, 11, 0.3
48, 5, 6, 0.3
49, 4, 3, 0.6
50, 2, 9, 0.1
51, 7, 16, 0.6
52, 8, 3, 0.3
53, 10, 13, 0.1
54, 17, 16, 1.8
55, 15, 14, 0.6
56, 12, 13, 1.8
57, 5, 4, 1.8
58, 17, 6, 0.9
59, 15, 8, 0.3
60, 7, 16, 0.6
61, 9, 14, 0.6
62, 10, 1, 0.3
63, 2, 9, 0.1
64, 11, 0, 0.6
65, 12, 11, 2.1
66, 17, 16, 0.2
67, 15, 14, 1.2
68, 5, 6, 0.9
69, 7, 8, 0.2
70, 13, 10, 0.3
71, 4, 3, 1.7
73, 2, 1, 0.2
74, 0, 1, 0.8
75, 17, 6, 1.2
76, 15, 8, 0.3
77, 14, 9, 0.9
78, 12, 11, 1.5
79, 7, 4, 0.3
80, 10, 13, 0.3
81, 5, 4, 1.8
82, 3, 2, 0.6
84, 15, 8, 1.2
85, 14, 9, 1.2
88, 7, 16, 0.3
89, 10, 1, 0.6
90, 17, 6, 3.0
91, 5, 6, 2.4
92, 15, 14, 0.2
93, 3, 2, 1.1
94, 12, 11, 3.0
96, 7, 8, 1.2
97, 9, 10, 0.2
99, 15, 8, 2.4
100, 14, 13, 0.5
103, 3, 2, 1.2
104, 17, 6, 1.2
105, 7, 16, 1.8
106, 9, 10, 0.2
107, 15, 14, 0.6
109, 13, 10, 1.2
110, 12, 13, 1.2
111, 5, 6, 2.1
112, 4, 3, 0.5
114, 15, 16, 0.6
115, 7, 4, 0.6
116, 9, 8, 0.2
117, 14, 15, 3.0
118, 2, 9, 1.5
119, 11, 0, 1.5
123, 7, 8, 1.2
124, 14, 13, 2.3
125, 10, 11, 0.2
126, 3, 8, 0.6
128, 2, 1, 0.6
130, 0, 1, 1.8
131, 15, 8, 0.3
132, 14, 9, 1.8
133, 5, 4, 0.6
134, 7, 6, 0.2
135, 10, 13, 0.6
136, 12, 13, 0.6
137, 3, 2, 1.8
139, 15, 14, 1.8
140, 0, 11, 2.4
141, 7, 4, 2.1
143, 9, 10, 0.6
146, 15, 8, 2.4
147, 3, 4, 2.4
148, 14, 9, 0.6
149, 2, 1, 1.1
151, 7, 6, 0.6
154, 10, 9, 1.2
155, 15, 16, 0.6
157, 14, 15, 0.2
158, 3, 8, 0.9
161, 7, 8, 0.5
162, 2, 3, 2.4
163, 10, 13, 0.9
164, 14, 15, 1.1
169, 7, 16, 0.6
170, 9, 10, 1.2
171, 14, 9, 2.1
172, 2, 1, 0.6
173, 11, 0, 1.2
176, 5, 4, 1.2
177, 15, 14, 2.4
178, 7, 8, 1.2
179, 3, 4, 1.1
180, 10, 11, 0.5
182, 2, 9, 0.6
184, 15, 8, 2.1
186, 0, 1, 1.2
187, 14, 13, 2.4
188, 7, 4, 1.5
189, 10, 11, 0.6
191, 3, 8, 0.9
192, 12, 11, 1.5
193, 15, 8, 2.4
194, 2, 9, 1.5
195, 14, 13, 2.7
197, 7, 16, 0.6
200, 10, 9, 1.2
202, 15, 16, 1.2
203, 3, 2, 3.0
204, 14, 13, 2.7
206, 7, 8, 1.2
209, 10, 1, 0.6
210, 15, 8, 3.0
212, 14, 9, 2.1
213, 3, 4, 2.4
215, 7, 6, 1.8
217, 2, 9, 2.7
219, 10, 11, 2.3
224, 3, 8, 1.8
226, 7, 6, 1.8
72, 12, 13, 0.2, LOOP
83, 17, 16, 0.2, LOOP
86, 0, 11, 1.2, LOOP
87, 12, 13, 0.2, LOOP
95, 0, 1, 0.2, LOOP
98, 17, 16, 0.2, LOOP
101, 5, 4, 0.2, LOOP
102, 12, 11, 0.6, LOOP
108, 0, 1, 0.2, LOOP
113, 17, 16, 0.2, LOOP
120, 12, 13, 0.2, LOOP
121, 17, 16, 0.5, LOOP
122, 5, 6, 0.6, LOOP
127, 12, 11, 0.6, LOOP
129, 17, 16, 0.5, LOOP
138, 17, 16, 0.5, LOOP
142, 12, 11, 0.6, LOOP
144, 5, 6, 0.6, LOOP
145, 17, 16, 0.6, LOOP
150, 12, 13, 0.5, LOOP
152, 17, 16, 1.1, LOOP
153, 0, 1, 0.5, LOOP
156, 5, 4, 0.2, LOOP
159, 12, 11, 0.9, LOOP
160, 17, 6, 1.2, LOOP
165, 0, 1, 0.5, LOOP
166, 5, 6, 0.6, LOOP
167, 12, 13, 0.6, LOOP
168, 17, 16, 1.2, LOOP
174, 17, 6, 1.5, LOOP
175, 12, 13, 0.8, LOOP
181, 17, 16, 1.2, LOOP
183, 12, 13, 1.2, LOOP
185, 5, 6, 0.9, LOOP
190, 17, 16, 1.2, LOOP
196, 5, 6, 1.2, LOOP
198, 0, 1, 0.6, LOOP
199, 17, 6, 1.5, LOOP
201, 12, 11, 0.9, LOOP
205, 17, 6, 1.8, LOOP
207, 5, 4, 0.6, LOOP
208, 12, 11, 0.9, LOOP
211, 0, 1, 0.8, LOOP
214, 17, 16, 1.2, LOOP
216, 12, 13, 1.2, LOOP
218, 15, 14, 0.5, LOOP
220, 5, 4, 1.2, LOOP
221, 0, 11, 1.2, LOOP
222, 17, 16, 1.2, LOOP
223, 12, 13, 1.2, LOOP
225, 15, 14, 1.2, LOOP
Helix 0 has an average crossover density of 20/299 = 0.0669 (1/bp). Target is 0.0700 (1/bp).
Helix 1 has an average crossover density of 21/302 = 0.0695 (1/bp). Target is 0.0700 (1/bp).
Helix 2 has an average crossover density of 20/305 = 0.0656 (1/bp). Target is 0.0700 (1/bp).
Helix 3 has an average crossover density of 21/310 = 0.0677 (1/bp). Target is 0.0700 (1/bp).
Helix 4 has an average crossover density of 22/315 = 0.0698 (1/bp). Target is 0.0700 (1/bp).
Helix 5 has an average crossover density of 21/319 = 0.0658 (1/bp). Target is 0.0700 (1/bp).
Helix 6 has an average crossover density of 27/377 = 0.0716 (1/bp). Target is 0.0700 (1/bp).
Helix 7 has an average crossover density of 25/371 = 0.0674 (1/bp). Target is 0.0700 (1/bp).
Helix 8 has an average crossover density of 26/369 = 0.0705 (1/bp). Target is 0.0700 (1/bp).
Helix 9 has an average crossover density of 25/369 = 0.0678 (1/bp). Target is 0.0700 (1/bp).
Helix 10 has an average crossover density of 24/367 = 0.0654 (1/bp). Target is 0.0700 (1/bp).
Helix 11 has an average crossover density of 26/361 = 0.0720 (1/bp). Target is 0.0700 (1/bp).
Helix 12 has an average crossover density of 28/419 = 0.0668 (1/bp). Target is 0.0700 (1/bp).
Helix 13 has an average crossover density of 29/423 = 0.0686 (1/bp). Target is 0.0700 (1/bp).
Helix 14 has an average crossover density of 29/428 = 0.0678 (1/bp). Target is 0.0700 (1/bp).
